Unnamed: 0,image_name,Grain_size_in_pixels,ferrite_%,pearlite_%,Grain size in micron,phase_ratio,Grain_size_number
0,Specimen 1 WM+WM1@1000X.bmp,7.831705793549607,82.87828233506944,17.121717664930554,0.641943097831935,4.840535509169407,10.993419060148817
1,Specimen 1 WM+WM1@100X.bmp,15.366230779543232,57.873987268518526,42.12601273148148,12.59527113077314,1.373830170859449,9.349474285131839
2,Specimen 1 WM+WM1@200X.bmp,16.02692430180878,71.53365523726852,28.46634476273148,6.568411599101959,2.5129202865174785,9.876180178681793
3,Specimen 1 WM+WM1@500X.bmp,12.267371684906074,79.90451388888889,20.09548611111111,2.011044538509193,3.976241900647948,10.503557776121763
4,Specimen 1 WM+WM2@1000X.bmp,7.445130213898345,82.86019784432871,17.139802155671298,0.6102565749097004,4.834373062871764,10.907924640235075
5,Specimen 1 WM+WM2@100X.bmp,13.704800547974552,56.441243489583336,43.55875651041667,11.233443072110289,1.2957496496964034,9.40335171748249
6,Specimen 1 WM+WM2@200X.bmp,18.279897478311664,69.58979853877315,30.41020146122685,7.491761261603141,2.288370191414236,10.044810152585079
7,Specimen 1 WM+WM2@500X.bmp,14.469273345350633,81.77060727719908,18.229392722800927,2.3720120238279727,4.485646259346982,10.500836081242847
8,Specimen 1 WM+WM3@1000X.bmp,12.025763193888446,82.43905526620371,17.560944733796298,0.9857182945810202,4.694454456516143,10.956308617072722
9,Specimen 1 WM+WM3@100X.bmp,12.91794754200279,56.55042860243056,43.44957139756944,10.588481591805564,1.3015186751783234,9.48017327533471
10,Specimen 1 WM+WM3@200X.bmp,16.075712479804608,69.32463469328704,30.675365306712965,6.5884067540182825,2.2599448775958377,10.12471428979251
11,Specimen 1 WM+WM3@500X.bmp,11.21861806010364,79.05702944155092,20.94297055844908,1.8391177147710889,3.774871822548437,10.400992029287087
12,Specimen 12 WM+WM1@1000X.bmp,11.091307769401377,81.16997612847221,18.83002387152778,0.9091235876558508,4.3106677231146,10.870220027025168
13,Specimen 12 WM+WM1@100X.bmp,14.258146946294698,50.49935800057871,49.5006419994213,11.68700569368418,1.0201758191574382,9.417622720973272
14,Specimen 12 WM+WM1@200X.bmp,17.125700006703248,63.5947898582176,36.405210141782405,7.018729510943954,1.7468595734111587,9.872124366416099
15,Specimen 12 WM+WM1@500X.bmp,16.27748683617637,76.90294053819444,23.09705946180556,2.6684404649469458,3.329555464208115,10.48920221696129
16,Specimen 12 WM+WM2@1000X.bmp,11.411219784000991,75.05787037037037,24.94212962962963,0.9353458839345076,3.0092807424593966,11.096740639269095
17,Specimen 12 WM+WM2@100X.bmp,13.226732873217909,51.088460286458336,48.91153971354167,10.841584322309762,1.044507300029117,9.605131533866999
18,Specimen 12 WM+WM2@200X.bmp,15.94702639194214,59.714536313657405,40.2854636863426,6.535666554074648,1.4822849447281292,10.219110269541167
19,Specimen 12 WM+WM2@500X.bmp,18.125202645276875,71.90755208333334,28.092447916666668,2.971344695947029,2.5596755504055624,10.67264547048001
20,Specimen 12 WM+WM3@1000X.bmp,12.880266884413905,77.14685510706019,22.853144892939813,1.0557595806896645,3.375765369207182,11.198426365547483
21,Specimen 12 WM+WM3@100X.bmp,14.445287859466244,52.71922923900463,47.280770760995374,11.840399884808395,1.1150247424159117,9.428488442411572
22,Specimen 12 WM+WM3@200X.bmp,18.804821484429905,63.11012550636575,36.88987449363426,7.706894050995863,1.7107709465711538,9.889973038682404
23,Specimen 12 WM+WM3@500X.bmp,15.390589063928587,72.55610713252315,27.44389286747685,2.5230473875292767,2.6437979292109755,10.635098010813126
24,Specimen 14 WM+WM1@1000X.bmp,11.24264618415655,74.39869068287037,25.601309317129623,0.921528375750537,2.9060502242786006,11.102865045995914
25,Specimen 14 WM+WM1@100X.bmp,13.608722101344004,49.240677445023145,50.75932255497685,11.154690247003282,0.970081454331687,9.458478052500226
26,Specimen 14 WM+WM1@200X.bmp,16.454203108940238,59.57189489293982,40.42810510706018,6.7435258643197695,1.4735267639970702,9.97000449327228
27,Specimen 14 WM+WM1@500X.bmp,15.328537569201451,70.52793149594908,29.472068504050924,2.5128750113445006,2.3930431447746887,10.661795210784122
28,Specimen 14 WM+WM2@1000X.bmp,8.59087520647448,78.17043728298611,21.82956271701389,0.704170098891351,3.5809438006772503,10.895199680845218
29,Specimen 14 WM+WM2@100X.bmp,13.359105063812285,49.23027886284722,50.76972113715278,10.95008611787892,0.9696779450462844,9.516114132564542
30,Specimen 14 WM+WM2@200X.bmp,15.704089023233893,60.65221715856482,39.34778284143518,6.436102058702415,1.541439257276143,10.079910412033247
31,Specimen 14 WM+WM2@500X.bmp,15.97030505913324,67.77976707175925,32.22023292824074,2.61808279657922,2.1036398843768414,10.572727553842423
32,Specimen 14 WM+WM3@1000X.bmp,14.027569574789847,70.89527271412037,29.104727285879623,1.14980078481884,2.435867961165049,11.045355975824668
33,Specimen 14 WM+WM3@100X.bmp,13.207751972929284,48.63462094907408,51.36537905092593,10.826026207319083,0.946836601767419,9.531786859157918
34,Specimen 14 WM+WM3@200X.bmp,16.805385039829353,59.90171079282407,40.09828920717592,6.887452885175965,1.4938719825010431,10.168110851357541
35,Specimen 14 WM+WM3@500X.bmp,20.276150975864965,69.92865668402779,30.07134331597222,3.323959176371306,2.325425104866718,10.538865022961291
36,Specimen 16 WM+WM1@1000X.bmp,9.374304862483775,80.40681061921296,19.59318938078704,0.7683856444658833,4.103814292636776,10.875908175769487
37,Specimen 16 WM+WM1@100X.bmp,14.033610861139332,58.45698603877315,41.543013961226855,11.502959722245354,1.4071435956315672,9.316001289110114
38,Specimen 16 WM+WM1@200X.bmp,14.976444539177296,68.70433666087963,31.29566333912037,6.137887106220203,2.1953308966932004,9.908225892838622
39,Specimen 16 WM+WM1@500X.bmp,12.927609306570409,78.179931640625,21.820068359375,2.1192802141918703,3.582937062937063,10.43845183933975
