,image_name,Grain_size_number
0,Specimen 1 WM+WM1@1000X.bmp,10.993419060148817
1,Specimen 1 WM+WM1@100X.bmp,9.349474285131839
2,Specimen 1 WM+WM1@200X.bmp,9.876180178681793
3,Specimen 1 WM+WM1@500X.bmp,10.503557776121763
4,Specimen 1 WM+WM2@1000X.bmp,10.907924640235075
5,Specimen 1 WM+WM2@100X.bmp,9.40335171748249
6,Specimen 1 WM+WM2@200X.bmp,10.044810152585079
7,Specimen 1 WM+WM2@500X.bmp,10.500836081242847
8,Specimen 1 WM+WM3@1000X.bmp,10.956308617072722
9,Specimen 1 WM+WM3@100X.bmp,9.48017327533471
10,Specimen 1 WM+WM3@200X.bmp,10.12471428979251
11,Specimen 1 WM+WM3@500X.bmp,10.400992029287087
12,Specimen 12 WM+WM1@1000X.bmp,10.870220027025168
13,Specimen 12 WM+WM1@100X.bmp,9.417622720973272
14,Specimen 12 WM+WM1@200X.bmp,9.872124366416099
15,Specimen 12 WM+WM1@500X.bmp,10.48920221696129
16,Specimen 12 WM+WM2@1000X.bmp,11.096740639269095
17,Specimen 12 WM+WM2@100X.bmp,9.605131533866999
18,Specimen 12 WM+WM2@200X.bmp,10.219110269541167
19,Specimen 12 WM+WM2@500X.bmp,10.67264547048001
20,Specimen 12 WM+WM3@1000X.bmp,11.198426365547483
21,Specimen 12 WM+WM3@100X.bmp,9.428488442411572
22,Specimen 12 WM+WM3@200X.bmp,9.889973038682404
23,Specimen 12 WM+WM3@500X.bmp,10.635098010813126
24,Specimen 14 WM+WM1@1000X.bmp,11.102865045995914
25,Specimen 14 WM+WM1@100X.bmp,9.458478052500226
26,Specimen 14 WM+WM1@200X.bmp,9.97000449327228
27,Specimen 14 WM+WM1@500X.bmp,10.661795210784122
28,Specimen 14 WM+WM2@1000X.bmp,10.895199680845218
29,Specimen 14 WM+WM2@100X.bmp,9.516114132564542
30,Specimen 14 WM+WM2@200X.bmp,10.079910412033247
31,Specimen 14 WM+WM2@500X.bmp,10.572727553842423
32,Specimen 14 WM+WM3@1000X.bmp,11.045355975824668
33,Specimen 14 WM+WM3@100X.bmp,9.531786859157918
34,Specimen 14 WM+WM3@200X.bmp,10.168110851357541
35,Specimen 14 WM+WM3@500X.bmp,10.538865022961291
36,Specimen 16 WM+WM1@1000X.bmp,10.875908175769487
37,Specimen 16 WM+WM1@100X.bmp,9.316001289110114
38,Specimen 16 WM+WM1@200X.bmp,9.908225892838622
39,Specimen 16 WM+WM1@500X.bmp,10.43845183933975
40,Specimen 16 WM+WM2@1000X.bmp,10.945299853603288
41,Specimen 16 WM+WM2@100X.bmp,9.327195113847333
42,Specimen 16 WM+WM2@200X.bmp,9.887799479592564
43,Specimen 16 WM+WM2@500X.bmp,10.488883421907774
44,Specimen 16 WM+WM3@1000X.bmp,10.943333098780153
45,Specimen 16 WM+WM3@100X.bmp,9.256010394138759
46,Specimen 16 WM+WM3@200X.bmp,9.905849073394904
47,Specimen 16 WM+WM3@500X.bmp,10.475870122041757
48,Specimen 17 WM+WM1@1000X.bmp,11.046876405850767
49,Specimen 17 WM+WM1@100X.bmp,9.446985285982922
50,Specimen 17 WM+WM1@200X.bmp,10.165346682357526
51,Specimen 17 WM+WM1@500X.bmp,10.550476066812548
52,Specimen 17 WM+WM2@1000X.bmp,11.073636999355756
53,Specimen 17 WM+WM2@100X.bmp,9.345606013842128
54,Specimen 17 WM+WM2@200X.bmp,10.129853096353164
55,Specimen 17 WM+WM2@500X.bmp,10.571463691235204
